"cpc_subclass","year","appearance_count","appearance_count_log","alt_count","alt_log","group_count","group_log","yearly_degree","cumulative_degree","yearly_degree_log","cumulative_degree_log","degree","closeness","betweenness","eigenvector","degree_log","closeness_log","betweenness_log","eigenvector_log","funded_count","funded_log","log_economic_output","section","class","closeness_sqrt","eigenvector_sqrt","alt_sqrt"
"A41C",2005,61,4.12713438504509,5,1.79175946922805,45,3.8286413964891,10,10,2.39789527279837,2.39789527279837,20,0,16.2693939070443,0.00578520957602458,3.04452243772342,0,2.84893579640923,0.00576853951340882,3,1.38629436111989,15.3851725951711,"A","A41",0,0.0760605651834416,2.23606797749979
"A41D",2005,391,5.97126183979046,5,1.79175946922805,316,5.75890177387728,68,68,4.23410650459726,4.23410650459726,136,0,722.292795222766,0.0385517487066816,4.91998092582813,0,6.58381411282507,0.0378271933348957,155,5.04985600724954,15.3851725951711,"A","A41",0,0.196345992336695,2.23606797749979
"A41F",2005,21,3.09104245335832,5,1.79175946922805,41,3.73766961828337,10,10,2.39789527279837,2.39789527279837,20,0,9.89026329736955,0.00414511934200932,3.04452243772342,0,2.38786911455613,0.004136552001768,5,1.79175946922805,15.3851725951711,"A","A41",0,0.0643826012367419,2.23606797749979
"A41G",2005,34,3.55534806148941,5,1.79175946922805,45,3.8286413964891,12,12,2.56494935746154,2.56494935746154,24,0,3.36349085936759,0.00892792543603091,3.2188758248682,0,1.47327239282531,0.00888830714124859,1,0.693147180559945,15.3851725951711,"A","A41",0,0.0944876999192536,2.23606797749979
"A41H",2005,23,3.17805383034795,5,1.79175946922805,63,4.15888308335967,13,13,2.63905732961526,2.63905732961526,26,0,24.8710417367026,0.0087681058296433,3.29583686600433,0,3.25312426352414,0.00872988921878142,4,1.6094379124341,15.3851726951711,"A","A41",0,0.0936381643863403,2.23606797749979
"A42B",2005,228,5.43372200355424,1,0.693147180559945,128,4.85981240436167,48,48,3.89182029811063,3.89182029811063,96,0,173.511524294848,0.0283570628563233,4.57471097850338,0,5.1619907812661,0.0279624441341746,91,4.52178857704904,15.3851725951711,"A","A42",0,0.168395554740389,1
"A42C",2005,30,3.43398720448515,1,0.693147180559945,17,2.89037175789616,13,13,2.63905732961526,2.63905732961526,26,0,15.0527924254293,0.00799960360255996,3.29583686600433,0,2.77588281733555,0.007967776397671,7,2.07944154167984,15.3851725951711,"A","A42",0,0.0894405031434862,1
"A43B",2005,922,6.82762923450285,2,1.09861228866811,381,5.94542060860658,55,55,4.02535169073515,4.02535169073515,110,0,466.551594782939,0.0341786543922433,4.70953020131233,0,6.14750970581124,0.0336075410379579,53,3.98898404656427,15.3851725951711,"A","A43",0,0.184874699167418,1.4142135623731
"A43C",2005,90,4.51085950651685,2,1.09861228866811,88,4.48863636973214,16,16,2.83321334405622,2.83321334405622,32,0,208.578705785457,0.00711048741518425,3.49650756146648,0,5.34509935275078,0.00708532709722183,1,0.693147180559945,15.3196813141148,"A","A43",0,0.0843237061281361,1.4142135623731
"A43D",2005,43,3.78418963391826,2,1.09861228866811,175,5.17048399503815,18,18,2.94443897916644,2.94443897916644,36,0,124.515756430308,0.0104255423042362,3.61091791264422,0,4.83243129993668,0.0103715711331177,9,2.30258509299405,15.0810437945498,"A","A43",0,0.102105544924045,1.4142135623731
"A44B",2005,154,5.04342511691925,2,1.09861228866811,214,5.37063802812766,41,41,3.73766961828337,3.73766961828337,82,0,241.092375551413,0.0257152221841641,4.4188406077966,0,5.48931937047583,0.0253901469973204,27,3.3322045101752,15.3233091586626,"A","A44",0,0.160359665078735,1.4142135623731
"A44C",2005,102,4.63472898822964,2,1.09861228866811,155,5.04985600724954,26,26,3.29583686600433,3.29583686600433,52,0,179.463786852426,0.0119868608061537,3.97029191355212,0,5.19553013078831,0.0119155873878601,3,1.38629436111989,15.1400591882083,"A","A44",0,0.109484523135253,1.4142135623731
"A45B",2005,84,4.44265125649032,3,1.38629436111989,103,4.64439089914137,24,24,3.2188758248682,3.2188758248682,48,0,23.0216733740723,0.0129743187605284,3.89182029811063,0,3.17895648009008,0.0128908732773971,5,1.79175946922805,14.9326400689503,"A","A45",0,0.113904867150304,1.73205080756888
"A45C",2005,240,5.48479693349065,3,1.38629436111989,197,5.28826703069454,70,70,4.26267987704132,4.26267987704132,140,0,774.320877249638,0.0380771400597657,4.94875989037817,0,6.65327697882526,0.0373700980322667,28,3.36729582998647,15.3667114684106,"A","A45",0,0.195133646662398,1.73205080756888
"A45D",2005,255,5.54517744447956,3,1.38629436111989,434,6.07534603108868,56,56,4.04305126783455,4.04305126783455,112,0,351.204392083184,0.0345844112847755,4.72738781871234,0,5.86421166640793,0.0339998110900166,7,2.07944154167984,14.9934805387868,"A","A45",0,0.185968844930476,1.73205080756888
